marketHashName_used,rarity_en,case_name_en,price,platform,status,name,market_hash_name,exterior,series,tier
,,,3.0,Buff,,Galil AR | Connexion,Galil AR | Connexion (Well-Worn),Well-Worn,Fracture Case,Restricted
,,,3.6,C5,,Galil AR | Connexion,Galil AR | Connexion (Well-Worn),Well-Worn,Fracture Case,Restricted
,,,2.8,YOUPIN,,Galil AR | Connexion,Galil AR | Connexion (Well-Worn),Well-Worn,Fracture Case,Restricted
,,,5.06,Steam,,Galil AR | Connexion,Galil AR | Connexion (Well-Worn),Well-Worn,Fracture Case,Restricted
,,,6.56,HALOSKINS,,Galil AR | Connexion,Galil AR | Connexion (Well-Worn),Well-Worn,Fracture Case,Restricted
,,,2.81,C5,,Galil AR | Connexion,Galil AR | Connexion (Battle-Scarred),Battle-Scarred,Fracture Case,Restricted
,,,2.78,YOUPIN,,Galil AR | Connexion,Galil AR | Connexion (Battle-Scarred),Battle-Scarred,Fracture Case,Restricted
,,,2.66,Buff,,Galil AR | Connexion,Galil AR | Connexion (Battle-Scarred),Battle-Scarred,Fracture Case,Restricted
,,,4.06,Steam,,Galil AR | Connexion,Galil AR | Connexion (Battle-Scarred),Battle-Scarred,Fracture Case,Restricted
,,,3.0,HALOSKINS,,Galil AR | Connexion,Galil AR | Connexion (Battle-Scarred),Battle-Scarred,Fracture Case,Restricted
,,,2837.48,C5,,Glock-18 | Neo-Noir,Glock-18 | Neo-Noir (Factory New),Factory New,Operation Broken Fang Case,Covert
,,,2820.0,YOUPIN,,Glock-18 | Neo-Noir,Glock-18 | Neo-Noir (Factory New),Factory New,Operation Broken Fang Case,Covert
,,,2953.55,HALOSKINS,,Glock-18 | Neo-Noir,Glock-18 | Neo-Noir (Factory New),Factory New,Operation Broken Fang Case,Covert
,,,2927.99,Buff,,Glock-18 | Neo-Noir,Glock-18 | Neo-Noir (Factory New),Factory New,Operation Broken Fang Case,Covert
,,,3881.72,Steam,,Glock-18 | Neo-Noir,Glock-18 | Neo-Noir (Factory New),Factory New,Operation Broken Fang Case,Covert
,,,552.65,C5,,Glock-18 | Neo-Noir,Glock-18 | Neo-Noir (Minimal Wear),Minimal Wear,Operation Broken Fang Case,Covert
,,,545.0,Buff,,Glock-18 | Neo-Noir,Glock-18 | Neo-Noir (Minimal Wear),Minimal Wear,Operation Broken Fang Case,Covert
,,,548.9,YOUPIN,,Glock-18 | Neo-Noir,Glock-18 | Neo-Noir (Minimal Wear),Minimal Wear,Operation Broken Fang Case,Covert
,,,575.36,HALOSKINS,,Glock-18 | Neo-Noir,Glock-18 | Neo-Noir (Minimal Wear),Minimal Wear,Operation Broken Fang Case,Covert
,,,717.41,Steam,,Glock-18 | Neo-Noir,Glock-18 | Neo-Noir (Minimal Wear),Minimal Wear,Operation Broken Fang Case,Covert
,,,245.7,HALOSKINS,,Glock-18 | Neo-Noir,Glock-18 | Neo-Noir (Field-Tested),Field-Tested,Operation Broken Fang Case,Covert
,,,236.0,C5,,Glock-18 | Neo-Noir,Glock-18 | Neo-Noir (Field-Tested),Field-Tested,Operation Broken Fang Case,Covert
,,,230.0,YOUPIN,,Glock-18 | Neo-Noir,Glock-18 | Neo-Noir (Field-Tested),Field-Tested,Operation Broken Fang Case,Covert
,,,238.0,Buff,,Glock-18 | Neo-Noir,Glock-18 | Neo-Noir (Field-Tested),Field-Tested,Operation Broken Fang Case,Covert
,,,348.97,Steam,,Glock-18 | Neo-Noir,Glock-18 | Neo-Noir (Field-Tested),Field-Tested,Operation Broken Fang Case,Covert
,,,215.0,C5,,Glock-18 | Neo-Noir,Glock-18 | Neo-Noir (Well-Worn),Well-Worn,Operation Broken Fang Case,Covert
,,,218.0,YOUPIN,,Glock-18 | Neo-Noir,Glock-18 | Neo-Noir (Well-Worn),Well-Worn,Operation Broken Fang Case,Covert
,,,214.5,Buff,,Glock-18 | Neo-Noir,Glock-18 | Neo-Noir (Well-Worn),Well-Worn,Operation Broken Fang Case,Covert
,,,223.82,HALOSKINS,,Glock-18 | Neo-Noir,Glock-18 | Neo-Noir (Well-Worn),Well-Worn,Operation Broken Fang Case,Covert
,,,303.35,Steam,,Glock-18 | Neo-Noir,Glock-18 | Neo-Noir (Well-Worn),Well-Worn,Operation Broken Fang Case,Covert
,,,216.5,C5,,Glock-18 | Neo-Noir,Glock-18 | Neo-Noir (Battle-Scarred),Battle-Scarred,Operation Broken Fang Case,Covert
,,,208.0,YOUPIN,,Glock-18 | Neo-Noir,Glock-18 | Neo-Noir (Battle-Scarred),Battle-Scarred,Operation Broken Fang Case,Covert
,,,195.0,Buff,,Glock-18 | Neo-Noir,Glock-18 | Neo-Noir (Battle-Scarred),Battle-Scarred,Operation Broken Fang Case,Covert
,,,303.43,Steam,,Glock-18 | Neo-Noir,Glock-18 | Neo-Noir (Battle-Scarred),Battle-Scarred,Operation Broken Fang Case,Covert
,,,225.39,HALOSKINS,,Glock-18 | Neo-Noir,Glock-18 | Neo-Noir (Battle-Scarred),Battle-Scarred,Operation Broken Fang Case,Covert
,,,12.8,Buff,,P250 | Contaminant,P250 | Contaminant (Factory New),Factory New,Operation Broken Fang Case,Mil-Spec
,,,13.0,YOUPIN,,P250 | Contaminant,P250 | Contaminant (Factory New),Factory New,Operation Broken Fang Case,Mil-Spec
,,,22.95,Steam,,P250 | Contaminant,P250 | Contaminant (Factory New),Factory New,Operation Broken Fang Case,Mil-Spec
,,,14.0,C5,,P250 | Contaminant,P250 | Contaminant (Factory New),Factory New,Operation Broken Fang Case,Mil-Spec
,,,14.62,HALOSKINS,,P250 | Contaminant,P250 | Contaminant (Factory New),Factory New,Operation Broken Fang Case,Mil-Spec
,,,6.84,YOUPIN,,P250 | Contaminant,P250 | Contaminant (Minimal Wear),Minimal Wear,Operation Broken Fang Case,Mil-Spec
,,,5.81,Buff,,P250 | Contaminant,P250 | Contaminant (Minimal Wear),Minimal Wear,Operation Broken Fang Case,Mil-Spec
,,,9.9,Steam,,P250 | Contaminant,P250 | Contaminant (Minimal Wear),Minimal Wear,Operation Broken Fang Case,Mil-Spec
,,,9.44,C5,,P250 | Contaminant,P250 | Contaminant (Minimal Wear),Minimal Wear,Operation Broken Fang Case,Mil-Spec
,,,9.63,HALOSKINS,,P250 | Contaminant,P250 | Contaminant (Minimal Wear),Minimal Wear,Operation Broken Fang Case,Mil-Spec
,,,4.91,YOUPIN,,P250 | Contaminant,P250 | Contaminant (Field-Tested),Field-Tested,Operation Broken Fang Case,Mil-Spec
,,,8.98,C5,,P250 | Contaminant,P250 | Contaminant (Field-Tested),Field-Tested,Operation Broken Fang Case,Mil-Spec
,,,4.97,Buff,,P250 | Contaminant,P250 | Contaminant (Field-Tested),Field-Tested,Operation Broken Fang Case,Mil-Spec
,,,9.4,Steam,,P250 | Contaminant,P250 | Contaminant (Field-Tested),Field-Tested,Operation Broken Fang Case,Mil-Spec
,,,8.91,HALOSKINS,,P250 | Contaminant,P250 | Contaminant (Field-Tested),Field-Tested,Operation Broken Fang Case,Mil-Spec
,,,5.2,YOUPIN,,P250 | Contaminant,P250 | Contaminant (Well-Worn),Well-Worn,Operation Broken Fang Case,Mil-Spec
,,,6.6,C5,,P250 | Contaminant,P250 | Contaminant (Well-Worn),Well-Worn,Operation Broken Fang Case,Mil-Spec
,,,4.27,Buff,,P250 | Contaminant,P250 | Contaminant (Well-Worn),Well-Worn,Operation Broken Fang Case,Mil-Spec
,,,7.55,Steam,,P250 | Contaminant,P250 | Contaminant (Well-Worn),Well-Worn,Operation Broken Fang Case,Mil-Spec
,,,6.92,HALOSKINS,,P250 | Contaminant,P250 | Contaminant (Well-Worn),Well-Worn,Operation Broken Fang Case,Mil-Spec
,,,2.72,Buff,,P250 | Contaminant,P250 | Contaminant (Battle-Scarred),Battle-Scarred,Operation Broken Fang Case,Mil-Spec
,,,4.7,YOUPIN,,P250 | Contaminant,P250 | Contaminant (Battle-Scarred),Battle-Scarred,Operation Broken Fang Case,Mil-Spec
,,,5.49,C5,,P250 | Contaminant,P250 | Contaminant (Battle-Scarred),Battle-Scarred,Operation Broken Fang Case,Mil-Spec
,,,5.13,Steam,,P250 | Contaminant,P250 | Contaminant (Battle-Scarred),Battle-Scarred,Operation Broken Fang Case,Mil-Spec
,,,5.78,HALOSKINS,,P250 | Contaminant,P250 | Contaminant (Battle-Scarred),Battle-Scarred,Operation Broken Fang Case,Mil-Spec
,,,413.0,C5,,M4A4 | Griffin,M4A4 | Griffin (Factory New),Factory New,Operation Vanguard Weapon Case,Restricted
,,,412.0,YOUPIN,,M4A4 | Griffin,M4A4 | Griffin (Factory New),Factory New,Operation Vanguard Weapon Case,Restricted
,,,409.5,Buff,,M4A4 | Griffin,M4A4 | Griffin (Factory New),Factory New,Operation Vanguard Weapon Case,Restricted
,,,494.81,Steam,,M4A4 | Griffin,M4A4 | Griffin (Factory New),Factory New,Operation Vanguard Weapon Case,Restricted
,,,431.66,HALOSKINS,,M4A4 | Griffin,M4A4 | Griffin (Factory New),Factory New,Operation Vanguard Weapon Case,Restricted
,,,46.0,YOUPIN,,M4A4 | Griffin,M4A4 | Griffin (Minimal Wear),Minimal Wear,Operation Vanguard Weapon Case,Restricted
,,,46.0,C5,,M4A4 | Griffin,M4A4 | Griffin (Minimal Wear),Minimal Wear,Operation Vanguard Weapon Case,Restricted
,,,42.0,Buff,,M4A4 | Griffin,M4A4 | Griffin (Minimal Wear),Minimal Wear,Operation Vanguard Weapon Case,Restricted
,,,58.3,Steam,,M4A4 | Griffin,M4A4 | Griffin (Minimal Wear),Minimal Wear,Operation Vanguard Weapon Case,Restricted
,,,48.05,HALOSKINS,,M4A4 | Griffin,M4A4 | Griffin (Minimal Wear),Minimal Wear,Operation Vanguard Weapon Case,Restricted
,,,22.7,Buff,,M4A4 | Griffin,M4A4 | Griffin (Field-Tested),Field-Tested,Operation Vanguard Weapon Case,Restricted
,,,22.48,C5,,M4A4 | Griffin,M4A4 | Griffin (Field-Tested),Field-Tested,Operation Vanguard Weapon Case,Restricted
,,,22.94,YOUPIN,,M4A4 | Griffin,M4A4 | Griffin (Field-Tested),Field-Tested,Operation Vanguard Weapon Case,Restricted
,,,30.0,Steam,,M4A4 | Griffin,M4A4 | Griffin (Field-Tested),Field-Tested,Operation Vanguard Weapon Case,Restricted
,,,23.46,HALOSKINS,,M4A4 | Griffin,M4A4 | Griffin (Field-Tested),Field-Tested,Operation Vanguard Weapon Case,Restricted
,,,42.75,C5,,M4A4 | Griffin,M4A4 | Griffin (Well-Worn),Well-Worn,Operation Vanguard Weapon Case,Restricted
,,,34.4,Buff,,M4A4 | Griffin,M4A4 | Griffin (Well-Worn),Well-Worn,Operation Vanguard Weapon Case,Restricted
,,,50.32,Steam,,M4A4 | Griffin,M4A4 | Griffin (Well-Worn),Well-Worn,Operation Vanguard Weapon Case,Restricted
,,,44.72,YOUPIN,,M4A4 | Griffin,M4A4 | Griffin (Well-Worn),Well-Worn,Operation Vanguard Weapon Case,Restricted
,,,44.48,HALOSKINS,,M4A4 | Griffin,M4A4 | Griffin (Well-Worn),Well-Worn,Operation Vanguard Weapon Case,Restricted
,,,27.16,C5,,M4A4 | Griffin,M4A4 | Griffin (Battle-Scarred),Battle-Scarred,Operation Vanguard Weapon Case,Restricted
,,,25.5,Buff,,M4A4 | Griffin,M4A4 | Griffin (Battle-Scarred),Battle-Scarred,Operation Vanguard Weapon Case,Restricted
,,,29.86,Steam,,M4A4 | Griffin,M4A4 | Griffin (Battle-Scarred),Battle-Scarred,Operation Vanguard Weapon Case,Restricted
,,,22.5,YOUPIN,,M4A4 | Griffin,M4A4 | Griffin (Battle-Scarred),Battle-Scarred,Operation Vanguard Weapon Case,Restricted
,,,83.26,HALOSKINS,,M4A4 | Griffin,M4A4 | Griffin (Battle-Scarred),Battle-Scarred,Operation Vanguard Weapon Case,Restricted
,,,450.0,Buff,,XM1014 | Incinegator,XM1014 | Incinegator (Minimal Wear),Minimal Wear,Prisma Case,Classified
,,,418.5,YOUPIN,,XM1014 | Incinegator,XM1014 | Incinegator (Minimal Wear),Minimal Wear,Prisma Case,Classified
,,,492.38,Steam,,XM1014 | Incinegator,XM1014 | Incinegator (Minimal Wear),Minimal Wear,Prisma Case,Classified
,,,470.5,C5,,XM1014 | Incinegator,XM1014 | Incinegator (Minimal Wear),Minimal Wear,Prisma Case,Classified
,,,489.4,HALOSKINS,,XM1014 | Incinegator,XM1014 | Incinegator (Minimal Wear),Minimal Wear,Prisma Case,Classified
,,,30.0,C5,,XM1014 | Incinegator,XM1014 | Incinegator (Field-Tested),Field-Tested,Prisma Case,Classified
,,,29.73,YOUPIN,,XM1014 | Incinegator,XM1014 | Incinegator (Field-Tested),Field-Tested,Prisma Case,Classified
,,,30.0,Buff,,XM1014 | Incinegator,XM1014 | Incinegator (Field-Tested),Field-Tested,Prisma Case,Classified
,,,31.65,HALOSKINS,,XM1014 | Incinegator,XM1014 | Incinegator (Field-Tested),Field-Tested,Prisma Case,Classified
,,,47.32,Steam,,XM1014 | Incinegator,XM1014 | Incinegator (Field-Tested),Field-Tested,Prisma Case,Classified
,,,30.0,YOUPIN,,XM1014 | Incinegator,XM1014 | Incinegator (Well-Worn),Well-Worn,Prisma Case,Classified
,,,43.12,Steam,,XM1014 | Incinegator,XM1014 | Incinegator (Well-Worn),Well-Worn,Prisma Case,Classified
,,,29.99,Buff,,XM1014 | Incinegator,XM1014 | Incinegator (Well-Worn),Well-Worn,Prisma Case,Classified
,,,29.94,C5,,XM1014 | Incinegator,XM1014 | Incinegator (Well-Worn),Well-Worn,Prisma Case,Classified
,,,33.36,HALOSKINS,,XM1014 | Incinegator,XM1014 | Incinegator (Well-Worn),Well-Worn,Prisma Case,Classified
,,,42.76,Steam,,XM1014 | Incinegator,XM1014 | Incinegator (Battle-Scarred),Battle-Scarred,Prisma Case,Classified
,,,28.99,YOUPIN,,XM1014 | Incinegator,XM1014 | Incinegator (Battle-Scarred),Battle-Scarred,Prisma Case,Classified
,,,40.0,C5,,XM1014 | Incinegator,XM1014 | Incinegator (Battle-Scarred),Battle-Scarred,Prisma Case,Classified
,,,28.0,Buff,,XM1014 | Incinegator,XM1014 | Incinegator (Battle-Scarred),Battle-Scarred,Prisma Case,Classified
,,,41.7,HALOSKINS,,XM1014 | Incinegator,XM1014 | Incinegator (Battle-Scarred),Battle-Scarred,Prisma Case,Classified
,,,11.75,C5,,P90 | Neoqueen,P90 | Neoqueen (Factory New),Factory New,Revolution Case,Restricted
,,,11.67,YOUPIN,,P90 | Neoqueen,P90 | Neoqueen (Factory New),Factory New,Revolution Case,Restricted
,,,11.0,Buff,,P90 | Neoqueen,P90 | Neoqueen (Factory New),Factory New,Revolution Case,Restricted
,,,18.1,Steam,,P90 | Neoqueen,P90 | Neoqueen (Factory New),Factory New,Revolution Case,Restricted
,,,12.26,HALOSKINS,,P90 | Neoqueen,P90 | Neoqueen (Factory New),Factory New,Revolution Case,Restricted
,,,4.35,YOUPIN,,P90 | Neoqueen,P90 | Neoqueen (Minimal Wear),Minimal Wear,Revolution Case,Restricted
,,,4.36,C5,,P90 | Neoqueen,P90 | Neoqueen (Minimal Wear),Minimal Wear,Revolution Case,Restricted
,,,4.57,HALOSKINS,,P90 | Neoqueen,P90 | Neoqueen (Minimal Wear),Minimal Wear,Revolution Case,Restricted
,,,4.11,Buff,,P90 | Neoqueen,P90 | Neoqueen (Minimal Wear),Minimal Wear,Revolution Case,Restricted
,,,6.98,Steam,,P90 | Neoqueen,P90 | Neoqueen (Minimal Wear),Minimal Wear,Revolution Case,Restricted
,,,2.79,C5,,P90 | Neoqueen,P90 | Neoqueen (Field-Tested),Field-Tested,Revolution Case,Restricted
,,,1.15,YOUPIN,,P90 | Neoqueen,P90 | Neoqueen (Field-Tested),Field-Tested,Revolution Case,Restricted
,,,3.0,HALOSKINS,,P90 | Neoqueen,P90 | Neoqueen (Field-Tested),Field-Tested,Revolution Case,Restricted
,,,2.78,Buff,,P90 | Neoqueen,P90 | Neoqueen (Field-Tested),Field-Tested,Revolution Case,Restricted
,,,4.56,Steam,,P90 | Neoqueen,P90 | Neoqueen (Field-Tested),Field-Tested,Revolution Case,Restricted
,,,3.16,C5,,P90 | Neoqueen,P90 | Neoqueen (Well-Worn),Well-Worn,Revolution Case,Restricted
,,,2.95,Buff,,P90 | Neoqueen,P90 | Neoqueen (Well-Worn),Well-Worn,Revolution Case,Restricted
,,,3.01,YOUPIN,,P90 | Neoqueen,P90 | Neoqueen (Well-Worn),Well-Worn,Revolution Case,Restricted
,,,5.48,Steam,,P90 | Neoqueen,P90 | Neoqueen (Well-Worn),Well-Worn,Revolution Case,Restricted
,,,3.36,HALOSKINS,,P90 | Neoqueen,P90 | Neoqueen (Well-Worn),Well-Worn,Revolution Case,Restricted
,,,2.97,C5,,P90 | Neoqueen,P90 | Neoqueen (Battle-Scarred),Battle-Scarred,Revolution Case,Restricted
,,,2.94,YOUPIN,,P90 | Neoqueen,P90 | Neoqueen (Battle-Scarred),Battle-Scarred,Revolution Case,Restricted
,,,2.75,Buff,,P90 | Neoqueen,P90 | Neoqueen (Battle-Scarred),Battle-Scarred,Revolution Case,Restricted
,,,3.14,HALOSKINS,,P90 | Neoqueen,P90 | Neoqueen (Battle-Scarred),Battle-Scarred,Revolution Case,Restricted
,,,5.55,Steam,,P90 | Neoqueen,P90 | Neoqueen (Battle-Scarred),Battle-Scarred,Revolution Case,Restricted
,,,113.19,HALOSKINS,,AWP | Duality,AWP | Duality (Factory New),Factory New,Revolution Case,Classified
,,,108.68,C5,,AWP | Duality,AWP | Duality (Factory New),Factory New,Revolution Case,Classified
,,,107.49,YOUPIN,,AWP | Duality,AWP | Duality (Factory New),Factory New,Revolution Case,Classified
,,,161.08,Steam,,AWP | Duality,AWP | Duality (Factory New),Factory New,Revolution Case,Classified
,,,104.5,Buff,,AWP | Duality,AWP | Duality (Factory New),Factory New,Revolution Case,Classified
,,,39.8,C5,,AWP | Duality,AWP | Duality (Minimal Wear),Minimal Wear,Revolution Case,Classified
,,,41.49,HALOSKINS,,AWP | Duality,AWP | Duality (Minimal Wear),Minimal Wear,Revolution Case,Classified
,,,39.75,YOUPIN,,AWP | Duality,AWP | Duality (Minimal Wear),Minimal Wear,Revolution Case,Classified
,,,39.99,Buff,,AWP | Duality,AWP | Duality (Minimal Wear),Minimal Wear,Revolution Case,Classified
,,,59.8,Steam,,AWP | Duality,AWP | Duality (Minimal Wear),Minimal Wear,Revolution Case,Classified
,,,22.65,C5,,AWP | Duality,AWP | Duality (Field-Tested),Field-Tested,Revolution Case,Classified
,,,22.46,HALOSKINS,,AWP | Duality,AWP | Duality (Field-Tested),Field-Tested,Revolution Case,Classified
,,,22.82,YOUPIN,,AWP | Duality,AWP | Duality (Field-Tested),Field-Tested,Revolution Case,Classified
,,,34.78,Steam,,AWP | Duality,AWP | Duality (Field-Tested),Field-Tested,Revolution Case,Classified
,,,22.3,Buff,,AWP | Duality,AWP | Duality (Field-Tested),Field-Tested,Revolution Case,Classified
,,,23.65,Buff,,AWP | Duality,AWP | Duality (Well-Worn),Well-Worn,Revolution Case,Classified
,,,25.0,C5,,AWP | Duality,AWP | Duality (Well-Worn),Well-Worn,Revolution Case,Classified
,,,21.9,YOUPIN,,AWP | Duality,AWP | Duality (Well-Worn),Well-Worn,Revolution Case,Classified
,,,35.63,Steam,,AWP | Duality,AWP | Duality (Well-Worn),Well-Worn,Revolution Case,Classified
,,,26.02,HALOSKINS,,AWP | Duality,AWP | Duality (Well-Worn),Well-Worn,Revolution Case,Classified
,,,19.9,Buff,,AWP | Duality,AWP | Duality (Battle-Scarred),Battle-Scarred,Revolution Case,Classified
,,,23.86,C5,,AWP | Duality,AWP | Duality (Battle-Scarred),Battle-Scarred,Revolution Case,Classified
,,,20.65,YOUPIN,,AWP | Duality,AWP | Duality (Battle-Scarred),Battle-Scarred,Revolution Case,Classified
,,,33.85,Steam,,AWP | Duality,AWP | Duality (Battle-Scarred),Battle-Scarred,Revolution Case,Classified
,,,25.02,HALOSKINS,,AWP | Duality,AWP | Duality (Battle-Scarred),Battle-Scarred,Revolution Case,Classified
,,,5.06,Buff,,R8 Revolver | Grip,R8 Revolver | Grip (Factory New),Factory New,Clutch Case,Mil-Spec
,,,5.2,C5,,R8 Revolver | Grip,R8 Revolver | Grip (Factory New),Factory New,Clutch Case,Mil-Spec
,,,4.95,YOUPIN,,R8 Revolver | Grip,R8 Revolver | Grip (Factory New),Factory New,Clutch Case,Mil-Spec
,,,6.98,Steam,,R8 Revolver | Grip,R8 Revolver | Grip (Factory New),Factory New,Clutch Case,Mil-Spec
,,,5.42,HALOSKINS,,R8 Revolver | Grip,R8 Revolver | Grip (Factory New),Factory New,Clutch Case,Mil-Spec
,,,1.22,Buff,,R8 Revolver | Grip,R8 Revolver | Grip (Minimal Wear),Minimal Wear,Clutch Case,Mil-Spec
,,,1.26,YOUPIN,,R8 Revolver | Grip,R8 Revolver | Grip (Minimal Wear),Minimal Wear,Clutch Case,Mil-Spec
,,,1.92,Steam,,R8 Revolver | Grip,R8 Revolver | Grip (Minimal Wear),Minimal Wear,Clutch Case,Mil-Spec
,,,1.28,C5,,R8 Revolver | Grip,R8 Revolver | Grip (Minimal Wear),Minimal Wear,Clutch Case,Mil-Spec
,,,1.36,HALOSKINS,,R8 Revolver | Grip,R8 Revolver | Grip (Minimal Wear),Minimal Wear,Clutch Case,Mil-Spec
,,,0.68,Buff,,R8 Revolver | Grip,R8 Revolver | Grip (Field-Tested),Field-Tested,Clutch Case,Mil-Spec
,,,0.68,YOUPIN,,R8 Revolver | Grip,R8 Revolver | Grip (Field-Tested),Field-Tested,Clutch Case,Mil-Spec
,,,0.8,C5,,R8 Revolver | Grip,R8 Revolver | Grip (Field-Tested),Field-Tested,Clutch Case,Mil-Spec
,,,0.86,HALOSKINS,,R8 Revolver | Grip,R8 Revolver | Grip (Field-Tested),Field-Tested,Clutch Case,Mil-Spec
,,,1.42,Steam,,R8 Revolver | Grip,R8 Revolver | Grip (Field-Tested),Field-Tested,Clutch Case,Mil-Spec
,,,0.97,Buff,,R8 Revolver | Grip,R8 Revolver | Grip (Well-Worn),Well-Worn,Clutch Case,Mil-Spec
,,,0.56,YOUPIN,,R8 Revolver | Grip,R8 Revolver | Grip (Well-Worn),Well-Worn,Clutch Case,Mil-Spec
,,,0.54,C5,,R8 Revolver | Grip,R8 Revolver | Grip (Well-Worn),Well-Worn,Clutch Case,Mil-Spec
,,,0.99,Steam,,R8 Revolver | Grip,R8 Revolver | Grip (Well-Worn),Well-Worn,Clutch Case,Mil-Spec
,,,0.58,HALOSKINS,,R8 Revolver | Grip,R8 Revolver | Grip (Well-Worn),Well-Worn,Clutch Case,Mil-Spec
,,,0.65,Buff,,R8 Revolver | Grip,R8 Revolver | Grip (Battle-Scarred),Battle-Scarred,Clutch Case,Mil-Spec
,,,0.48,C5,,R8 Revolver | Grip,R8 Revolver | Grip (Battle-Scarred),Battle-Scarred,Clutch Case,Mil-Spec
,,,0.92,Steam,,R8 Revolver | Grip,R8 Revolver | Grip (Battle-Scarred),Battle-Scarred,Clutch Case,Mil-Spec
,,,0.98,YOUPIN,,R8 Revolver | Grip,R8 Revolver | Grip (Battle-Scarred),Battle-Scarred,Clutch Case,Mil-Spec
,,,0.58,HALOSKINS,,R8 Revolver | Grip,R8 Revolver | Grip (Battle-Scarred),Battle-Scarred,Clutch Case,Mil-Spec
